Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2012-05-04 21:54,76.7N,10.6W,,,,,,2.29E+11,0.63
2012-04-23 22:01,36.2N,107.4E,25.2,,,,,4.40E+10,0.15
2012-04-21 16:08,15.8S,174.8W,,,,,,1.43E+11,0.42
2012-04-19 22:12,5.5N,16.8E,,,,,,3.00E+10,0.1
2012-04-02 16:50,28.1N,95.2W,,,,,,3.20E+10,0.11
2012-03-12 6:40,2.5N,139.8E,25,11.8,0.1,-11.8,0.3,9.90E+10,0.3
2012-03-03 21:28,7.8N,2.7E,20.4,,,,,1.01E+11,0.31
2012-03-01 3:12,46.9N,29.8W,,,,,,2.20E+10,0.079
2012-02-24 19:11,22.7S,30.8E,,,,,,3.70E+10,0.13
2012-02-17 10:47,3.2S,39.9W,45.6,,,,,1.54E+11,0.44
2012-02-12 5:25,31.7S,54.9E,61,,,,,1.40E+11,0.41
2012-02-04 14:42,32.4N,0.1E,34.2,12.2,-3.9,10.9,4,1.50E+11,0.43
2012-01-15 12:26,64.1S,109.9E,26.3,12.3,-1.9,5.1,11,2.10E+10,0.076
2012-01-11 2:23,32.2N,88.5E,,,,,,8.50E+10,0.26
2011-12-19 11:35,30.2S,52.6E,36.1,,,,,1.35E+11,0.4
2011-12-14 5:01,62.9S,89.6E,32.4,,,,,5.00E+10,0.16
2011-12-11 17:29,,,,,,,,2.90E+10,0.1
2011-11-20 5:25,27.9S,116.3E,,,,,,2.30E+10,0.082
2011-10-12 7:13,26.4S,78.4W,,,,,,3.60E+10,0.12
2011-09-13 23:36,19.9S,13.8W,21.3,16.7,-3.7,1.8,16.2,6.70E+10,0.21
2011-08-31 9:44,18.6N,5.1W,,,,,,2.70E+10,0.095
2011-08-20 20:01,27.2S,2.8W,,,,,,2.30E+10,0.082
2011-08-18 14:55,,,,,,,,2.30E+10,0.082
2011-08-11 2:56,,,,,,,,3.50E+10,0.12
2011-08-04 7:25,40.7S,86.7W,63,,,,,2.80E+10,0.098
2011-07-27 23:00,45.3S,63.5E,29.6,,,,,4.40E+10,0.15
2011-07-07 23:25,,,,,,,,3.30E+10,0.11
2011-07-05 15:42,29.1N,139.7E,40.7,,,,,6.50E+10,0.21
2011-07-04 9:18,51.7S,175.0E,,,,,,2.90E+10,0.1
2011-06-16 11:51,67.3N,21.4W,40.5,,,,,2.40E+10,0.086
